"source_system","website_id","original_sku","internal_sku","name","canonical_name","product_family","research_classification","strength_value","strength_unit","form","package_quantity","package_unit","storage_requirements","catalog_type","notes"
"woocommerce:oligopolypeptides.com","12","OP-MET-RETA-10MG","OP-R-00012","Retatrutide 10 mg Research Peptide","Retatrutide","Metabolic Systems Research","Research peptide","10","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","39","OP-MET-TIRZ-10MG","OP-R-00039","Tirzepatide 10 mg Research Peptide","Tirzepatide","Metabolic Systems Research","Research peptide","10","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","47","OP-MET-SEMA-10MG","OP-R-00047","Semaglutide 10 mg Research Peptide","Semaglutide","Metabolic Systems Research","Research peptide","10","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","49","OP-REC-BPC157-10MG","OP-R-00049","BPC-157 10 mg Research Peptide","BPC-157","Regenerative Biology Research","Research peptide","10","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","52","OP-REC-TB500-10MG","OP-R-00052","TB-500 10 mg Research Peptide","TB-500","Regenerative Biology Research","Research peptide","10","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","60","OP-MET-AOD9604-10MG","OP-R-00060","AOD-9604 10 mg Research Peptide","AOD-9604","Metabolic Systems Research","Research peptide","10","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","63","OP-AUX-NAD-500MG","OP-R-00063","NAD+ 500 mg Research Material","NAD+","Cellular Energy Research","Research material","500","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","436","OP-MET-CAGRI-5MG","OP-R-00436","Cagrilintide 5 mg Research Peptide","Cagrilintide","Metabolic Systems Research","Research peptide","5","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","441","OP-LON-GHKCU-50MG","OP-R-00441","GHK-Cu 50 mg Research Peptide","GHK-Cu","Regenerative Biology Research","Research peptide","50","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","442","OP-GH-TESA-10MG","OP-R-00442","Tesamorelin 10mg Research Peptide","Tesamorelin","Growth Hormone Research","Research peptide","10","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","443","OP-AUX-MOTSC-10MG","OP-R-00443","MOTS-c 10 mg Research Peptide","MOTS-c","Cellular Energy Research","Research peptide","10","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","444","OP-LON-SS31-10MG","OP-R-00444","SS-31 10mg Research Peptide","SS-31","Longevity Research","Research peptide","10","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","445","OP-IMM-TA1-10MG","OP-R-00445","Thymosin Alpha 1 Research Peptide","Thymosin Alpha 1","Immune Research","Research peptide","","","","","","","simple","SKU implies 10 mg, but the name omits strength. Confirm 10 mg against the product specification before entering it.
Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","446","OP-COG-SEMAX-10MG","OP-R-00446","Semax 10 mg Research Peptide","Semax","Cognitive Systems Research","Research peptide","10","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
"woocommerce:oligopolypeptides.com","447","OP-COG-SELANK-5MG","OP-R-00447","Selank 5 mg Research Peptide","Selank","Cognitive Systems Research","Research peptide","5","mg","","","","","simple","Proposed package convention: 1 vial. Confirm against the product specification.
Canonical names and classifications are suggested labels from the reference. Nominal amounts, where supplied, come from the catalog and are not laboratory verification. Physical form and storage are unknown. Unverified package conventions were left blank."
